City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,sembakung,3.82,117.25,74.5,95,20,1.43,ID,1605286774
88,stornoway,58.21,-6.39,46.4,87,40,23.04,GB,1605286774
89,tomatlan,19.93,-105.25,85.48,58,0,3.89,MX,1605286774
90,bandarbeyla,9.49,50.81,77.52,75,0,13.65,SO,1605286774
91,harindanga,22.04,88.32,75.2,60,4,7.54,IN,1605286774
92,vigrestad,58.57,5.7,48.99,99,100,5.01,NO,1605286775
93,port hardy,50.7,-127.42,42.8,93,40,4.7,CA,1605286775
94,syracuse,37.09,15.28,66.2,77,40,5.82,IT,1605286775
95,atuona,-9.8,-139.03,77.23,76,80,14.92,PF,1605286775
96,hithadhoo,-0.6,73.08,83.03,78,100,20.04,MV,1605286775
97,marsa matruh,31.35,27.25,68.0,68,40,11.41,EG,1605286729
98,moba,33.23,105.02,43.72,97,93,5.55,CN,1605286776
99,buin,-33.73,-70.75,71.01,72,75,2.24,CL,1605286776
100,wajima,37.4,136.9,54.63,57,0,11.56,JP,1605286776
101,seoul,37.57,126.98,44.6,100,1,1.81,KR,1605286751
102,magadan,59.57,150.8,14.22,84,100,10.13,RU,1605286776
103,komsomolskiy,40.43,71.72,42.8,87,90,4.16,UZ,1605286776
104,mao,39.89,4.27,64.4,82,20,4.7,ES,1605286777
105,srednekolymsk,67.45,153.68,-6.77,89,91,3.56,RU,1605286777
106,georgetown,5.41,100.34,78.8,94,40,6.93,MY,1605286519
107,khandyga,62.67,135.6,12.16,96,100,4.09,RU,1605286777
108,tateyama,34.98,139.87,57.2,58,0,8.05,JP,1605286777
109,along,28.17,94.77,57.36,60,0,2.15,IN,1605286777
110,valparaiso,-33.04,-71.63,59.0,82,90,6.93,CL,1605286778
111,kanel,15.49,-13.18,100.4,17,0,6.93,SN,1605286778
112,saint-philippe,-21.36,55.77,77.0,78,0,3.36,RE,1605286778
113,ilulissat,69.22,-51.1,21.2,62,75,16.11,GL,1605286778
114,kaitangata,-46.28,169.85,49.26,74,29,8.7,NZ,1605286778
115,kattivakkam,13.22,80.32,82.4,94,40,5.82,IN,1605286779
116,vardo,70.37,31.11,35.6,77,0,34.45,NO,1605286779
117,castro,-24.79,-50.01,77.32,60,93,3.53,BR,1605286779
118,kodiak,57.79,-152.41,37.4,44,1,12.75,US,1605286779
119,nichinan,31.6,131.37,61.88,67,24,14.92,JP,1605286779
120,kaeo,-35.1,173.78,52.0,94,6,3.27,NZ,1605286779
121,visnes,59.36,5.22,50.0,87,75,24.16,NO,1605286779
122,albany,42.6,-73.97,43.0,83,100,3.02,US,1605286502
123,avera,33.19,-82.53,72.0,94,75,6.93,US,1605286780
124,iqaluit,63.75,-68.51,14.0,66,90,2.24,CA,1605286780
125,hasaki,35.73,140.83,48.2,100,20,3.36,JP,1605286780
126,caruray,10.31,119.01,78.66,81,2,3.91,PH,1605286780
127,clyde river,70.47,-68.59,6.8,60,20,10.29,CA,1605286525
128,vaini,-21.2,-175.2,75.2,94,40,4.7,TO,1605286781
129,pisco,-13.7,-76.22,70.0,77,0,10.29,PE,1605286781
130,gamba,-2.65,10.0,76.75,89,100,7.23,GA,1605286781
131,bollnas,61.35,16.39,41.14,88,99,3.47,SE,1605286680
132,mawlaik,23.63,94.42,68.79,77,0,1.36,MM,1605286781
133,samur,41.83,48.49,43.93,72,56,1.63,RU,1605286781
134,omsukchan,62.53,155.8,-13.22,86,38,1.01,RU,1605286781
135,norman wells,65.28,-126.83,1.4,84,75,8.05,CA,1605286782
136,ribeira grande,38.52,-28.7,66.2,82,40,14.99,PT,1605286782
137,det udom,14.91,105.08,69.8,73,0,6.93,TH,1605286782
138,luganville,-15.53,167.17,78.03,85,55,5.66,VU,1605286782
139,malakal,9.53,31.66,85.51,32,20,4.7,SS,1605286782
140,saldanha,-33.01,17.94,66.2,68,72,8.05,ZA,1605286782
141,saint george,37.1,-113.58,39.2,51,1,3.36,US,1605286783
142,coquimbo,-29.95,-71.34,59.0,77,90,5.82,CL,1605286783
143,kushmurun,52.45,64.63,26.65,96,100,12.06,KZ,1605286783
144,duku,11.24,4.91,86.79,22,0,5.61,NG,1605286783
145,statesboro,32.45,-81.78,75.2,69,75,5.99,US,1605286484
146,rundu,-17.93,19.77,78.8,47,87,1.97,NA,1605286783
147,aswan,24.09,32.91,74.14,23,0,10.07,EG,1605286783
148,saint-joseph,-21.37,55.62,77.0,78,0,3.36,RE,1605286784
149,jilotepec,19.6,-96.93,71.6,47,2,4.45,MX,1605286784
150,portland,45.52,-122.68,48.99,93,75,6.93,US,1605286536
151,jamestown,42.1,-79.24,46.0,75,75,10.29,US,1605286777
152,odweyne,9.41,45.06,72.03,51,0,12.5,SO,1605286784
153,marawi,8.0,124.29,77.0,92,25,7.0,PH,1605286784
154,japura,-0.32,102.35,75.42,92,99,1.32,ID,1605286784
155,beloha,-25.17,45.05,65.55,74,4,7.29,MG,1605286669
156,torbay,47.67,-52.73,44.01,74,75,16.11,CA,1605286785
157,sorland,67.67,12.69,42.8,81,40,4.7,NO,1605286785
158,clarence town,-32.58,151.78,63.0,88,90,11.41,AU,1605286785
159,codrington,-38.27,141.97,48.18,91,36,7.05,AU,1605286785
160,cidreira,-30.18,-50.21,72.68,84,32,9.8,BR,1605286785
161,marsabit,2.33,37.99,70.65,74,45,14.61,KE,1605286786
162,dunedin,-45.87,170.5,57.99,43,35,4.0,NZ,1605286769
163,bredasdorp,-34.53,20.04,69.8,60,93,16.11,ZA,1605286786
164,broken hill,-31.95,141.43,60.8,44,0,3.36,AU,1605286786
165,aksu,41.12,80.26,38.25,57,99,1.25,CN,1605286786
166,aleksandrov gay,50.15,48.57,29.91,89,7,7.87,RU,1605286786
167,calawag,10.67,119.57,78.28,86,0,3.85,PH,1605286787
168,suicheng,33.9,117.93,53.17,81,0,6.91,CN,1605286787
169,belaya gora,68.53,146.42,-20.29,88,95,0.2,RU,1605286787
170,muroto,33.28,134.15,62.74,67,37,20.76,JP,1605286787
171,saskylakh,71.92,114.08,-11.49,89,93,1.52,RU,1605286787
172,el reno,35.53,-97.95,42.01,74,1,9.17,US,1605286787
173,soke,13.6,-5.94,91.35,11,0,9.42,ML,1605286788
174,henties bay,-22.12,14.28,64.99,79,9,6.06,NA,1605286788
